branch,mean_coherence,standard_error_of_mean,z_score,p_value,z_alpha,decision_test,z_alpha_bonferroni_corrected,decision_bonferroni_corrected,branch_length,number_of_sites,rate_category
"(A1, Node1*)",1.6814,0.2472,6.8014,0.0,1.6449,Informative,2.7131,Informative,0.0632338996725,42,c3
"(A2, Node1*)",1.9859,0.2399,8.2785,0.0,1.6449,Informative,2.7131,Informative,0.16370755093439998,42,c3
"(Node2*, Node1*)",1.4623,0.2244,6.5166,0.0,1.6449,Informative,2.9137,Informative,0.1712180751876,42,c3
"(Node3*, Node2*)",1.6075,0.2299,6.9911,0.0,1.6449,Informative,2.9137,Informative,0.1426476041253,42,c3
"(Node4*, Node2*)",1.8506,0.2214,8.3591,0.0,1.6449,Informative,3.0781,Informative,0.12410014483259998,42,c3
"(A3, Node3*)",2.1487,0.2497,8.6045,0.0,1.6449,Informative,2.7131,Informative,0.045282496757399995,42,c3
"(A4, Node3*)",2.4166,0.2468,9.7899,0.0,1.6449,Informative,2.7131,Informative,0.1202456791359,42,c3
"(Node5*, Node4*)",1.5456,0.1867,8.2769,0.0,1.6449,Informative,3.0781,Informative,0.004194863631,42,c3
"(Node8*, Node4*)",-0.9774,0.256,-3.8184,0.9999,1.6449,Saturated,3.1628,Saturated,2.3442916769945996,42,c3
"(Node6*, Node5*)",2.4586,0.2559,9.6091,0.0,1.6449,Informative,2.9137,Informative,0.0715074298029,42,c3
"(Node7*, Node5*)",2.4353,0.2522,9.6565,0.0,1.6449,Informative,2.9137,Informative,0.040922762273099995,42,c3
"(Node9*, Node8*)",2.3237,0.2565,9.0584,0.0,1.6449,Informative,3.1582,Informative,0.046643005593,42,c3
"(B4, Node8*)",2.1563,0.2272,9.4911,0.0,1.6449,Informative,2.7131,Informative,2.3016744e-06,42,c3
"(A5, Node6*)",2.769,0.257,10.7744,0.0,1.6449,Informative,2.7131,Informative,0.0712970383347,42,c3
"(A6, Node6*)",2.7468,0.2583,10.6347,0.0,1.6449,Informative,2.7131,Informative,0.06015706878779999,42,c3
"(A7, Node7*)",2.8735,0.2603,11.0375,0.0,1.6449,Informative,2.7131,Informative,0.0392541722037,42,c3
"(A8, Node7*)",2.891,0.2609,11.0807,0.0,1.6449,Informative,2.7131,Informative,0.049995179769599996,42,c3
"(Node10*, Node9*)",1.208,0.2017,5.9886,0.0,1.6449,Informative,3.144,Informative,0.1128674360727,42,c3
"(B3, Node9*)",2.4723,0.2516,9.8281,0.0,1.6449,Informative,2.7131,Informative,0.11248288193069998,42,c3
"(Node11*, Node10*)",1.0046,0.2167,4.6366,0.0,1.6449,Informative,2.9137,Informative,0.1004397725511,42,c3
"(Node12*, Node10*)",1.0864,0.2186,4.9698,0.0,1.6449,Informative,3.0781,Informative,0.18725610193019998,42,c3
"(B1, Node11*)",1.691,0.2254,7.5004,0.0,1.6449,Informative,2.7131,Informative,0.11990060584919998,42,c3
"(B2, Node11*)",1.7548,0.2198,7.9836,0.0,1.6449,Informative,2.7131,Informative,0.1127074766175,42,c3
"(Node13*, Node12*)",2.1124,0.2494,8.4688,0.0,1.6449,Informative,2.9137,Informative,0.2047374514116,42,c3
"(Node14*, Node12*)",1.7528,0.2073,8.4569,0.0,1.6449,Informative,2.9137,Informative,0.048930447586499996,42,c3
"(B5, Node13*)",2.9327,0.2617,11.2075,0.0,1.6449,Informative,2.7131,Informative,0.10298873812859999,42,c3
"(B6, Node13*)",2.7611,0.2508,11.0082,0.0,1.6449,Informative,2.7131,Informative,0.022734077697899997,42,c3
"(B7, Node14*)",2.458,0.2545,9.6566,0.0,1.6449,Informative,2.7131,Informative,0.11332259798219999,42,c3
"(B8, Node14*)",2.4972,0.2519,9.9118,0.0,1.6449,Informative,2.7131,Informative,0.0737222797602,42,c3
