branch,mean_coherence,standard_error_of_mean,z_score,p_value,z_alpha,decision_test,z_alpha_bonferroni_corrected,decision_bonferroni_corrected,branch_length,number_of_sites,rate_category
"(A1, Node1*)",0.7107,0.0276,25.7618,0.0,2.3263,Informative,3.2087,Informative,0.0620871685,1000,single_rate
"(A2, Node1*)",0.7089,0.0297,23.8777,0.0,2.3263,Informative,3.2087,Informative,0.1608553245,1000,single_rate
"(Node2*, Node1*)",0.5749,0.027,21.2874,0.0,2.3263,Informative,3.384,Informative,0.16819503,1000,single_rate
"(Node3*, Node2*)",0.5967,0.0271,21.9899,0.0,2.3263,Informative,3.384,Informative,0.1410975908,1000,single_rate
"(Node4*, Node2*)",0.5704,0.0249,22.9176,0.0,2.3263,Informative,3.5293,Informative,0.0613910929,1000,single_rate
"(A3, Node3*)",0.7663,0.0284,26.9739,0.0,2.3263,Informative,3.2087,Informative,0.0443309768,1000,single_rate
"(A4, Node3*)",0.7764,0.0303,25.6277,0.0,2.3263,Informative,3.2087,Informative,0.1183522661,1000,single_rate
"(Node5*, Node4*)",0.5754,0.025,23.0179,0.0,2.3263,Informative,3.5293,Informative,0.0648247235,1000,single_rate
"(Node8*, Node4*)",0.0698,0.0304,2.2962,0.0108,2.3263,Saturated,3.6047,Saturated,2.2647277038,1000,single_rate
"(Node6*, Node5*)",0.7831,0.0293,26.7275,0.0,2.3263,Informative,3.384,Informative,0.0702761986,1000,single_rate
"(Node7*, Node5*)",0.7828,0.0287,27.2365,0.0,2.3263,Informative,3.384,Informative,0.0401584341,1000,single_rate
"(Node9*, Node8*)",0.7984,0.0294,27.1192,0.0,2.3263,Informative,3.6006,Informative,0.0460293548,1000,single_rate
"(B4, Node8*)",0.7545,0.0274,27.5061,0.0,2.3263,Informative,3.2087,Informative,2.4276e-06,1000,single_rate
"(A5, Node6*)",0.8509,0.0306,27.8157,0.0,2.3263,Informative,3.2087,Informative,0.070145578,1000,single_rate
"(A6, Node6*)",0.859,0.0303,28.3932,0.0,2.3263,Informative,3.2087,Informative,0.0591508576,1000,single_rate
"(A7, Node7*)",0.8909,0.0306,29.1368,0.0,2.3263,Informative,3.2087,Informative,0.0387113677,1000,single_rate
"(A8, Node7*)",0.8854,0.031,28.5971,0.0,2.3263,Informative,3.2087,Informative,0.0490781918,1000,single_rate
"(Node10*, Node9*)",0.6301,0.0272,23.1514,0.0,2.3263,Informative,3.5879,Informative,0.111016082,1000,single_rate
"(B3, Node9*)",0.803,0.0305,26.2997,0.0,2.3263,Informative,3.2087,Informative,0.1106802023,1000,single_rate
"(Node11*, Node10*)",0.6065,0.0263,23.0532,0.0,2.3263,Informative,3.384,Informative,0.0989783261,1000,single_rate
"(Node12*, Node10*)",0.5497,0.0269,20.4027,0.0,2.3263,Informative,3.5293,Informative,0.1844442329,1000,single_rate
"(B1, Node11*)",0.7486,0.0293,25.5517,0.0,2.3263,Informative,3.2087,Informative,0.1179205818,1000,single_rate
"(B2, Node11*)",0.7539,0.0292,25.8325,0.0,2.3263,Informative,3.2087,Informative,0.1108538207,1000,single_rate
"(Node13*, Node12*)",0.637,0.0282,22.5535,0.0,2.3263,Informative,3.384,Informative,0.2010346777,1000,single_rate
"(Node14*, Node12*)",0.5907,0.0253,23.3774,0.0,2.3263,Informative,3.384,Informative,0.0483841509,1000,single_rate
"(B5, Node13*)",0.8296,0.0306,27.0752,0.0,2.3263,Informative,3.2087,Informative,0.1013877602,1000,single_rate
"(B6, Node13*)",0.8006,0.0287,27.9307,0.0,2.3263,Informative,3.2087,Informative,0.0221457583,1000,single_rate
"(B7, Node14*)",0.7401,0.0297,24.8892,0.0,2.3263,Informative,3.2087,Informative,0.111494408,1000,single_rate
"(B8, Node14*)",0.7613,0.029,26.2158,0.0,2.3263,Informative,3.2087,Informative,0.0722164733,1000,single_rate
