branch,mean_coherence,standard_error_of_mean,z_score,p_value,z_alpha,decision_test,z_alpha_bonferroni_corrected,decision_bonferroni_corrected,branch_length,number_of_sites,rate_category
"(A1, Node1*)",0.5318,0.0257,20.68,0.0,2.3263,Informative,3.2087,Informative,0.1634728572,1000,single_rate
"(Node2*, Node1*)",0.5259,0.0253,20.7632,0.0,2.3263,Informative,3.384,Informative,0.153693578,1000,single_rate
"(B3, Node1*)",0.0188,0.0283,0.6624,0.2539,2.3263,Saturated,3.2087,Saturated,2.6932244725,1000,single_rate
"(Node3*, Node2*)",0.7412,0.0271,27.388,0.0,2.3263,Informative,3.5293,Informative,2.3086e-06,1000,single_rate
"(Node6*, Node2*)",0.7123,0.0279,25.5741,0.0,2.3263,Informative,3.5879,Informative,0.0130843511,1000,single_rate
"(Node4*, Node3*)",0.3674,0.0205,17.9631,0.0,2.3263,Informative,3.384,Informative,0.0832921887,1000,single_rate
"(Node5*, Node3*)",0.7429,0.0291,25.543,0.0,2.3263,Informative,3.384,Informative,0.0865905771,1000,single_rate
"(Node7*, Node6*)",0.8022,0.028,28.6456,0.0,2.3263,Informative,3.6006,Informative,2.5435e-06,1000,single_rate
"(Node13*, Node6*)",0.7879,0.0278,28.3469,0.0,2.3263,Informative,3.474,Informative,2.2079e-06,1000,single_rate
"(A2, Node4*)",0.4986,0.0281,17.7277,0.0,2.3263,Informative,3.2087,Informative,0.3304032067,1000,single_rate
"(B7, Node4*)",0.0416,0.0286,1.4559,0.0727,2.3263,Saturated,3.2087,Saturated,2.9223921533,1000,single_rate
"(A5, Node5*)",0.8472,0.0304,27.8604,0.0,2.3263,Informative,3.2087,Informative,0.0692246263,1000,single_rate
"(A6, Node5*)",0.8536,0.0301,28.3173,0.0,2.3263,Informative,3.2087,Informative,0.0603195514,1000,single_rate
"(Node8*, Node7*)",0.4782,0.0224,21.3347,0.0,2.3263,Informative,3.5879,Informative,0.0189296469,1000,single_rate
"(A7, Node7*)",0.8312,0.0309,26.9143,0.0,2.3263,Informative,3.2087,Informative,0.0827760296,1000,single_rate
"(A4, Node13*)",0.5926,0.0312,19.0114,0.0,2.3263,Informative,3.2087,Informative,0.3533400083,1000,single_rate
"(Node14*, Node13*)",0.7684,0.0288,26.6644,0.0,2.3263,Informative,3.384,Informative,0.0317145886,1000,single_rate
"(Node9*, Node8*)",0.4667,0.0219,21.303,0.0,2.3263,Informative,3.474,Informative,2.3899e-06,1000,single_rate
"(Node11*, Node8*)",0.0559,0.0285,1.9644,0.0247,2.3263,Saturated,3.474,Saturated,2.5560370518,1000,single_rate
"(A8, Node14*)",0.7929,0.0299,26.5134,0.0,2.3263,Informative,3.2087,Informative,0.0569826921,1000,single_rate
"(B2, Node14*)",0.0786,0.0307,2.5644,0.0052,2.3263,Informative,3.2087,Saturated,2.6025597991,1000,single_rate
"(A3, Node9*)",0.6505,0.0304,21.3717,0.0,2.3263,Informative,3.2087,Informative,0.2679870906,1000,single_rate
"(Node10*, Node9*)",0.055,0.0291,1.8891,0.0294,2.3263,Saturated,3.384,Saturated,2.5192103822,1000,single_rate
"(Node12*, Node11*)",0.3654,0.019,19.2431,0.0,2.3263,Informative,3.384,Informative,2.1564e-06,1000,single_rate
"(B5, Node11*)",0.5286,0.0277,19.06,0.0,2.3263,Informative,3.2087,Informative,0.2988247324,1000,single_rate
"(B1, Node10*)",0.2323,0.0152,15.267,0.0,2.3263,Informative,3.2087,Informative,0.0499987922,1000,single_rate
"(B6, Node10*)",0.4486,0.03,14.9713,0.0,2.3263,Informative,3.2087,Informative,0.5831454088,1000,single_rate
"(B4, Node12*)",0.4886,0.0279,17.4828,0.0,2.3263,Informative,3.2087,Informative,0.3496085432,1000,single_rate
"(B8, Node12*)",0.5211,0.0249,20.9654,0.0,2.3263,Informative,3.2087,Informative,0.1189431185,1000,single_rate
