"site","region_name"
0,"0"
1,"0"
2,"0"
3,"0"
4,"0"
5,"0"
6,"0"
7,"C1"
8,"C1"
9,"C1"
10,"C1"
11,"C1"
12,"C1"
13,"C1"
14,"C1"
15,"C1"
16,"C1"
17,"C1"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"0"
31,"0"
32,"0"
33,"0"
34,"0"
35,"0"
36,"0"
37,"0"
38,"0"
39,"0"
40,"0"
41,"0"
42,"0"
43,"0"
44,"0"
45,"0"
46,"0"
47,"0"
48,"0"
49,"0"
50,"0"
51,"0"
52,"0"
53,"0"
54,"0"
55,"0"
56,"0"
57,"0"
58,"0"
59,"0"
60,"0"
61,"0"
62,"0"
63,"0"
64,"0"
65,"V1"
66,"V1"
67,"V1"
68,"V1"
69,"V1"
70,"V1"
71,"V1"
72,"V1"
73,"V1"
74,"V1"
75,"V1"
76,"V1"
77,"V1"
78,"V1"
79,"V1"
80,"V1"
81,"V1"
82,"V1"
83,"V1"
84,"V1"
85,"V1"
86,"V1"
87,"V1"
88,"V1"
89,"V1"
90,"V1"
91,"V1"
92,"V1"
93,"V1"
94,"V1"
95,"V1"
96,"V1"
97,"V1"
98,"V1"
99,"V1"
100,"V1"
101,"V1"
102,"V1"
103,"V1"
104,"V1"
105,"V1"
106,"V1"
107,"V1"
108,"V1"
109,"V1"
110,"V1"
111,"0"
112,"0"
113,"0"
114,"0"
115,"C2"
116,"C2"
117,"C2"
118,"C2"
119,"C2"
120,"C2"
121,"C2"
122,"C2"
123,"C2"
124,"C2"
125,"C2"
126,"0"
127,"0"
128,"0"
129,"0"
130,"0"
131,"0"
132,"0"
133,"0"
134,"0"
135,"0"
136,"0"
137,"0"
138,"0"
139,"0"
140,"0"
141,"0"
142,"0"
143,"0"
144,"0"
145,"0"
146,"0"
147,"0"
148,"0"
149,"0"
150,"V2"
151,"V2"
152,"V2"
153,"V2"
154,"V2"
155,"V2"
156,"V2"
157,"V2"
158,"V2"
159,"V2"
160,"V2"
161,"V2"
162,"V2"
163,"V2"
164,"V2"
165,"V2"
166,"V2"
167,"V2"
168,"V2"
169,"V2"
170,"V2"
171,"V2"
172,"V2"
173,"V2"
174,"V2"
175,"V2"
176,"V2"
177,"V2"
178,"V2"
179,"V2"
180,"V2"
181,"V2"
182,"V2"
183,"V2"
184,"V2"
185,"V2"
186,"V2"
187,"V2"
188,"V2"
189,"V2"
190,"V2"
191,"V2"
192,"V2"
193,"V2"
194,"V2"
195,"V2"
196,"V2"
197,"V2"
198,"V2"
199,"V2"
200,"V2"
201,"V2"
202,"V2"
203,"V2"
204,"V2"
205,"V2"
206,"V2"
207,"V2"
208,"V2"
209,"V2"
210,"V2"
211,"V2"
212,"V2"
213,"V2"
214,"V2"
215,"V2"
216,"V2"
217,"V2"
218,"V2"
219,"V2"
220,"V2"
221,"V2"
222,"V2"
223,"V2"
224,"V2"
225,"V2"
226,"V2"
227,"V2"
228,"V2"
229,"V2"
230,"V2"
231,"V2"
232,"V2"
233,"V2"
234,"V2"
235,"V2"
236,"V2"
237,"V2"
238,"V2"
239,"V2"
240,"V2"
241,"V2"
242,"V2"
243,"V2"
244,"V2"
245,"V2"
246,"V2"
247,"V2"
248,"V2"
249,"V2"
250,"V2"
251,"V2"
252,"V2"
253,"V2"
254,"V2"
255,"V2"
256,"V2"
257,"V2"
258,"V2"
259,"V2"
260,"V2"
261,"V2"
262,"V2"
263,"V2"
264,"V2"
265,"V2"
266,"V2"
267,"V2"
268,"V2"
269,"V2"
270,"V2"
271,"V2"
272,"V2"
273,"V2"
274,"V2"
275,"V2"
276,"V2"
277,"V2"
278,"V2"
279,"V2"
280,"V2"
281,"V2"
282,"V2"
283,"V2"
284,"V2"
285,"V2"
286,"V2"
287,"V2"
288,"V2"
289,"V2"
290,"V2"
291,"V2"
292,"V2"
293,"V2"
294,"V2"
295,"V2"
296,"V2"
297,"V2"
298,"V2"
299,"V2"
300,"V2"
301,"V2"
302,"V2"
303,"V2"
304,"V2"
305,"V2"
306,"V2"
307,"V2"
308,"V2"
309,"V2"
310,"V2"
311,"V2"
312,"V2"
313,"V2"
314,"V2"
